filename,width,height,class,xmin,ymin,xmax,ymax
20211121_171311.jpg,360,640,d6-6,105,92,166,148
20211121_171311.jpg,360,640,d6-5,105,262,150,312
20211121_171311.jpg,360,640,d10-4,264,113,293,151
20211121_171311.jpg,360,640,d6p-5,17,178,80,242
20211121_171311.jpg,360,640,d10-2,216,232,257,277
20211121_171311.jpg,360,640,d10-4,293,386,324,434
20211121_171311.jpg,360,640,d10-4,28,379,82,440
20211121_171311.jpg,360,640,d8p-6,110,409,157,457
20211121_171311.jpg,360,640,d8p-7,191,372,231,421
20211121_171337.jpg,360,640,d10-1,111,146,147,189
20211121_171337.jpg,360,640,d10-1,269,347,310,397
20211121_171337.jpg,360,640,d8p-7,237,194,281,244
20211121_171337.jpg,360,640,d8p-3,70,266,110,309
20211121_171337.jpg,360,640,d6p-5,45,370,96,420
20211121_171337.jpg,360,640,d6p-2,167,429,211,478
20211121_171337.jpg,360,640,d6-1,182,311,234,364
20211121_171337.jpg,360,640,d10-4,103,328,141,373
20211121_171337.jpg,360,640,d6-5,209,95,262,138
20211121_171337.jpg,360,640,d10-2,325,188,356,237
20211121_171357.jpg,360,640,d6p-5,24,179,67,219
20211121_171357.jpg,360,640,d6p-5,87,399,127,446
20211121_171357.jpg,360,640,d6-4,171,360,209,398
20211121_171357.jpg,360,640,d6-2,265,343,301,379
20211121_171357.jpg,360,640,d8p-4,84,292,116,323
20211121_171357.jpg,360,640,d10-4,214,289,251,323
20211121_171357.jpg,360,640,d10-9,147,226,176,256
20211121_171357.jpg,360,640,d8p-4,239,204,267,231
20211121_171357.jpg,360,640,d10-2,312,187,341,222
20211121_171357.jpg,360,640,d10-1,169,153,207,188
20211121_171419.jpg,360,640,d6-4,175,246,222,290
20211121_171419.jpg,360,640,d6-4,72,396,125,456
20211121_171419.jpg,360,640,d6p-3,200,371,262,428
20211121_171419.jpg,360,640,d6p-3,271,232,317,285
20211121_171419.jpg,360,640,d10-10,113,174,151,211
20211121_171419.jpg,360,640,d10-3,7,170,47,209
20211121_171419.jpg,360,640,d10-5,171,114,213,156
20211121_171419.jpg,360,640,d10-3,280,350,328,414
20211121_171419.jpg,360,640,d8p-4,108,277,157,323
20211121_171419.jpg,360,640,d8p-7,267,152,309,196
20211121_171450.jpg,640,360,d6-4,405,79,459,133
20211121_171450.jpg,640,360,d6-3,62,126,115,173
20211121_171450.jpg,640,360,d6p-2,222,85,270,131
20211121_171450.jpg,640,360,d6p-5,301,156,364,225
20211121_171450.jpg,640,360,d10-4,236,232,283,274
20211121_171450.jpg,640,360,d10-9,118,83,169,121
20211121_171450.jpg,640,360,d10-8,129,170,185,217
20211121_171450.jpg,640,360,d10-7,331,76,379,131
20211121_171450.jpg,640,360,d8p-7,393,173,436,221
20211121_171450.jpg,640,360,d8p-5,226,163,281,213
20211121_171515.jpg,640,360,d6-1,343,133,397,186
20211121_171515.jpg,640,360,d6-6,104,39,165,97
20211121_171515.jpg,640,360,d6p-5,112,149,174,204
20211121_171515.jpg,640,360,d6p-4,326,36,387,105
20211121_171515.jpg,640,360,d10-9,411,82,464,137
20211121_171515.jpg,640,360,d10-8,268,175,319,228
20211121_171515.jpg,640,360,d10-5,62,159,111,211
20211121_171515.jpg,640,360,d10-4,383,234,420,280
20211121_171515.jpg,640,360,d8p-7,164,243,226,294
20211121_171515.jpg,640,360,d8p-4,243,56,303,116
20211121_171555.jpg,640,360,d6-2,100,38,166,97
20211121_171555.jpg,640,360,d6-1,279,253,340,312
20211121_171555.jpg,640,360,d6p-4,287,14,350,80
20211121_171555.jpg,640,360,d6p-4,108,145,177,207
20211121_171555.jpg,640,360,d10-1,102,217,174,282
20211121_171555.jpg,640,360,d10-7,376,91,436,145
20211121_171555.jpg,640,360,d10-4,339,189,401,249
20211121_171555.jpg,640,360,d10-6,299,121,364,179
20211121_171555.jpg,640,360,d8p-6,194,93,249,145
20211121_171555.jpg,640,360,d8p-5,182,182,243,239
20211121_171611.jpg,640,360,d6p-4,307,111,355,158
20211121_171611.jpg,640,360,d6p-5,346,190,411,252
20211121_171611.jpg,640,360,d6-5,427,97,481,153
20211121_171611.jpg,640,360,d6-4,87,170,158,223
20211121_171611.jpg,640,360,d10-10,202,102,271,159
20211121_171611.jpg,640,360,d10-1,149,253,215,309
20211121_171611.jpg,640,360,d10-1,271,230,335,290
20211121_171611.jpg,640,360,d10-3,376,103,426,166
20211121_171611.jpg,640,360,d8p-4,264,26,324,76
20211121_171611.jpg,640,360,d8p-6,86,55,162,113
20211121_171642.jpg,640,360,d6-1,156,70,215,124
20211121_171642.jpg,640,360,d6-4,49,104,116,158
20211121_171642.jpg,640,360,d6p-2,159,246,230,308
20211121_171642.jpg,640,360,d6p-5,292,253,343,310
20211121_171642.jpg,640,360,d8p-6,281,83,328,140
20211121_171642.jpg,640,360,d8p-4,384,250,434,316
20211121_171642.jpg,640,360,d10-8,103,160,167,222
20211121_171642.jpg,640,360,d10-4,293,141,352,199
20211121_171642.jpg,640,360,d10-4,177,143,243,209
20211121_171642.jpg,640,360,d10-7,353,38,427,97
20211121_171719.jpg,360,640,d6-1,127,316,166,359
20211121_171719.jpg,360,640,d6-1,258,166,305,213
20211121_171719.jpg,360,640,d6p-4,224,389,278,450
20211121_171719.jpg,360,640,d6p-5,30,126,83,184
20211121_171719.jpg,360,640,d10-6,242,88,287,147
20211121_171719.jpg,360,640,d10-2,82,153,130,204
20211121_171719.jpg,360,640,d10-6,118,462,177,517
20211121_171719.jpg,360,640,d10-10,29,234,93,285
20211121_171719.jpg,360,640,d8p-7,188,267,232,308
20211121_171719.jpg,360,640,d8p-3,301,153,345,199
20211121_171739.jpg,360,640,d10-8,170,87,235,149
20211121_171739.jpg,360,640,d10-9,261,107,312,172
20211121_171739.jpg,360,640,d10-5,167,250,218,313
20211121_171739.jpg,360,640,d10-8,173,310,224,353
20211121_171739.jpg,360,640,d6-2,192,340,244,392
20211121_171739.jpg,360,640,d6-2,124,453,181,507
